Id,DateTime,Title,Artist,Likes,Comments,Streams,Position
1686552623326,2023-06-12 06:50:27,AVA- ANNA- Capo Plaza - VETRI NERI (Official Visual),AVA- ANNA- Capo Plaza,45728,705,4830056,3
1686552624877,2023-06-12 06:50:27,Marco Mengoni - Due Vite (Official Video - Sanremo 2023 – Eurovision 2023),Marco Mengoni,360998,14804,69082742,4
1686552627192,2023-06-12 06:50:27,BLANCO- MINA - Un Briciolo Di Allegria,BLANCO- MINA,112891,4575,16433138,5
1686552625213,2023-06-12 06:50:27,Geolier - COME VUOI (Official Video),Geolier,87509,1024,17665602,6
1686552631380,2023-06-12 06:50:27,Lazza - CENERE,Lazza,245198,6105,46569735,7
1686552626683,2023-06-12 06:50:27,Tedua - Hoe (feat. Sfera Ebbasta) [Official Lyrics Video],Tedua,29088,739,1852915,8
1686552623439,2023-06-12 06:50:27,Geolier - IL MALE CHE MI FAI (Visual Video) ft. Marracash,Geolier,66060,890,12902716,9
1686552630711,2023-06-12 06:50:27,Fedez- Annalisa- Articolo 31 - DISCO PARADISE (Visual Video),Fedez- Annalisa- Articolo 31,32595,2659,3228256,10
1686552623887,2023-06-12 06:50:27,Mr.Rain - SUPEREROI (Official Video) [Sanremo 2023],Mr.Rain,262633,7749,37982467,11
1686552627056,2023-06-12 06:50:27,Rocco Hunt - Non litighiamo più (Official Video),Rocco Hunt,42243,622,9148569,12
1686552623414,2023-06-12 06:50:27,Baby Gang - Cella 4 [Official Video],Baby Gang,150428,3389,6056029,13
1686552630196,2023-06-12 06:50:27,AriBeatz- Ozuna- Sfera Ebbasta- GIMS - MIRAGE (Official Animation Video),AriBeatz- Ozuna- Sfera Ebbasta- GIMS,75656,1603,7898925,14
1686552622935,2023-06-12 06:50:27,Rocco Hunt- Elettra Lamborghini- Lola Indigo - Caramello (Official Video),Rocco Hunt- Elettra Lamborghini- Lola Indigo,244843,20117,81580747,15
1686552628185,2023-06-12 06:50:27,Rhove - Pelé,Rhove,84251,1752,8422229,16
1686552623107,2023-06-12 06:50:27,Tedua - Paradiso Artificiale (feat. Baby Gang- Kid Yugi) [Official Lyrics Video],Tedua,20564,653,1121736,17
1686552630895,2023-06-12 06:50:27,Finesse - Gelosa ft. Shiva- Sfera Ebbasta- Guè (Official Video),Finesse,63862,997,11937578,18
1686552626357,2023-06-12 06:50:27,Geolier - X CASO ft. Sfera Ebbasta (Visual Video),Geolier,93921,1155,23764020,19
1686552624311,2023-06-12 06:50:27,Marco Mengoni- Elodie - Pazza Musica (Official Video),Marco Mengoni- Elodie,37487,11226,2646317,20
1686552633297,2023-06-12 06:50:27,Geolier - CHIAGNE ft. Lazza- Takagi & Ketra (Visual Video),Geolier,101096,1570,23441181,21
1686552626946,2023-06-12 06:50:27,Tedua - Malamente [Official Lyrics Video],Tedua,15807,260,892460,22
1686552633494,2023-06-12 06:50:27,Tedua - Mancanze Affettive (feat. Geolier) [Official Lyrics Video],Tedua,15284,218,847771,23
1686552631856,2023-06-12 06:50:27,Annalisa - Bellissima (Official Video),Annalisa,177825,11353,38757904,24
1686552633262,2023-06-12 06:50:27,Tananai - TANGO,Tananai,175591,5798,20142475,25
1686552625690,2023-06-12 06:50:27,Achille Lauro- Rose Villain - Fragole (Official Video),Achille Lauro- Rose Villain,15305,601,1818645,26
1686552632938,2023-06-12 06:50:27,Madame - IL BENE NEL MALE (Sanremo 2023),Madame,111646,4564,23738505,27
1686552624945,2023-06-12 06:50:27,Boomdabash- Annalisa - Tropicana,Boomdabash- Annalisa,214500,7853,60035714,28
1686552633428,2023-06-12 06:50:27,Ciccio Merolla - Malatìa (Napoli Version),Ciccio Merolla,29139,19,4357861,29
1686552628786,2023-06-12 06:50:27,Tedua - Red Light [Official Lyrics Video],Tedua,11387,210,657581,30
1686552628745,2023-06-12 06:50:27,Baby Gang - Napoletano [Official Lyric Video],Baby Gang,28295,656,1683061,31
1686552631059,2023-06-12 06:50:27,Tedua - Volgare (feat. Lazza) [Official Lyrics Video],Tedua,11036,202,669585,32
1686552626608,2023-06-12 06:50:27,QUEVEDO || BZRP Music Sessions #52,QUEVEDO || BZRP Music Sessions #52,5593744,155681,533349278,33
1686552625514,2023-06-12 06:50:27,RVFV & Anitta & Sfera Ebbasta - CAPITÁN,RVFV & Anitta & Sfera Ebbasta,87631,8895,2864676,34
1686552625575,2023-06-12 06:50:27,Rhove - Whip Whip,Rhove,45972,1114,2234220,35
